tau	g_0_tau_up
6.0625	(-0.00013250823796523946-0.01966646246463316j)
6.125	(0.000909534885964565-0.019459008378390208j)
6.1875	(-0.000122560420284459-0.019306457842673146j)
6.25	(0.0008987883148744078-0.019106846068986577j)
6.3125	(-0.00011288282927096626-0.018960765090457243j)
6.375	(0.0008885070539154263-0.018768530113832622j)
6.4375	(-0.00010361498299493776-0.018628516571187668j)
6.5	(0.0008785232630103537-0.018443220726345508j)
6.5625	(-9.486071266718199e-05-0.018308897069438404j)
6.625	(0.0008687060906942114-0.018130130157318212j)
6.6875	(-8.669260517867017e-05-0.018001143159446464j)
6.75	(0.0008589569298477675-0.017828521830497004j)
6.8125	(-7.915636695167145e-05-0.017704542092209265j)
6.875	(0.0008492048443238206-0.01753770901874489j)
6.9375	(-7.22750008456442e-05-0.01741843025294286j)
7.0	(0.0008394022596618705-0.01725705312182671j)
7.0625	(-6.605271024663672e-05-0.01714219125765379j)
7.125	(0.0008295209873872068-0.016985961621078845j)
7.1875	(-6.047847003366963e-05-0.01687525376857244j)
7.25	(0.0008195486266730379-0.01672388579384046j)
7.3125	(-5.5529230623192326e-05-0.016617089112486293j)
7.375	(0.0008094853611201932-0.016470318271370778j)
7.4375	(-5.117274741793824e-05-0.01636720878323507j)
7.5	(0.0007993411435154138-0.01622479051721803j)
7.5625	(-4.737005161048425e-05-0.016125161898637535j)
7.625	(0.0007891332409038735-0.01598687028772353j)
7.6875	(-4.407759498089312e-05-0.015890532663031202j)
7.75	(0.0007788841013615651-0.015756159114440855j)
7.8125	(-4.1249106209500976e-05-0.015662937863515983j)
7.875	(0.0007686195058904206-0.015532289826029565j)
7.9375	(-3.883718816983291e-05-0.01544202440889256j)
8.0	(0.0007583669820067412-0.015314924113148958j)
8.0625	(-3.6794669960617515e-05-0.015227466912707172j)
8.125	(0.0007481544717225339-0.01510375013923888j)
8.1875	(-3.507571377216515e-05-0.01501896532761271j)
8.25	(0.0007380092559937687-0.014898480210823607j)
8.3125	(-3.363667329797171e-05-0.014816242651809256j)
8.375	(0.000727957134960595-0.014698848534844636j)
8.4375	(-3.24367089746412e-05-0.014619042740161351j)
8.5	(0.0007180218505448753-0.014504609098455735j)
8.5625	(-3.143818063590267e-05-0.014427128255531694j)
8.625	(0.0007082247223392834-0.014315533704416239j)
8.6875	(-3.060685252667542e-05-0.014240278788830697j)
8.75	(0.0006985844561227341-0.014131410184434035j)
8.8125	(-2.9911953919415984e-05-0.014058289163015547j)
8.875	(0.0006891170797238364-0.013952040798290682j)
8.9375	(-2.932613983198159e-05-0.013880967921503246j)
9.0	(0.0006798359627927383-0.013777240812217538j)
9.0625	(-2.882539188823899e-05-0.01370813598790846j)
9.125	(0.0006707518840801548-0.013606837237539828j)
9.1875	(-2.8388889929061283e-05-0.013539625473026227j)
9.25	(0.0006618731216911913-0.013440667701597176j)
9.3125	(-2.7998870979798482e-05-0.013375278598684828j)
9.375	(0.0006532055574822167-0.013278579420218185j)
9.4375	(-2.7640475847192812e-05-0.01321494670971491j)
9.5	(0.0006447528023990137-0.01312042824744405j)
9.5625	(-2.7301570479027057e-05-0.013058489356384356j)
9.625	(0.0006365163585677236-0.012966077793150885j)
9.6875	(-2.6972525778919208e-05-0.01290577344689246j)
9.75	(0.0006284958311659568-0.012815398616653342j)
9.8125	(-2.6645948479070945e-05-0.01275667248481669j)
9.875	(0.0006206891892104839-0.012668267515340035j)
9.9375	(-2.631637269497381e-05-0.012611065911418747j)
10.0	(0.0006130930567387631-0.012524566925729529j)
10.0625	(-2.5979937596203994e-05-0.012468838564642523j)
10.125	(0.0006057030041354443-0.01238418444105371j)
10.1875	(-2.5634082809202494e-05-0.012329880250135723j)
10.25	(0.0005985138093405674-0.01224701243208829j)
10.3125	(-2.5277287416965643e-05-0.01219408540357417j)
10.375	(0.0005915196691027818-0.012112947745038072j)
10.4375	(-2.490886498079264e-05-0.012061352814957054j)
10.5	(0.0005847143551379699-0.011981891446356068j)
