tau	g_0_tau_up
34.375	(-0.40659387841689276222-4.248979049547831283e-16j)
34.5	(-0.4064342685279206946-4.256406469704067429e-16j)
34.625	(-0.40627539910597842976-4.1973069957406647671e-16j)
34.75	(-0.40611726926439140062-4.171760746749271086e-16j)
34.875	(-0.4059598781214468488-4.1988422429575631865e-16j)
35.0	(-0.40580322480037961386-4.1765180278881860586e-16j)
35.125	(-0.40564730842935275978-4.236084561112660662e-16j)
35.25	(-0.405492128141439645-4.0855306751364151756e-16j)
35.375	(-0.40533768307460776859-4.0904912441826711805e-16j)
35.5	(-0.4051839723717016173-4.0504424676453037926e-16j)
35.625	(-0.40503099518042506855-4.059010602953475066e-16j)
35.75	(-0.40487875065332429303-3.9783866983113605476e-16j)
35.875	(-0.40472723794777143436-3.9983581470208408477e-16j)
36.0	(-0.40457645622594795576-3.9656221764940342584e-16j)
36.125	(-0.40442640465482859735-4.043706438132263969e-16j)
36.25	(-0.40427708240616300195-4.0505475526703225292e-16j)
36.375	(-0.40412848865646211483-3.8928915601291457513e-16j)
36.5	(-0.4039806225869801426-3.8592832780155652411e-16j)
36.625	(-0.40383348338369962072-3.9152536269833533057e-16j)
36.75	(-0.40368707023731448258-3.874625426970504773e-16j)
36.875	(-0.40354138234321534906-3.8495222820896434976e-16j)
37.0	(-0.40339641890147270864-3.8191881793638948837e-16j)
37.125	(-0.40325217911682381677-3.8394906326672944034e-16j)
37.25	(-0.40310866219865204574-3.8461948984448121906e-16j)
37.375	(-0.4029658673609791686-3.7271437559637302355e-16j)
37.5	(-0.40282379382244343224-3.7521044934303343817e-16j)
37.625	(-0.4026824408062876226-3.6818038028328816487e-16j)
37.75	(-0.40254180754034418754-3.7388582216242572092e-16j)
37.875	(-0.40240189325701886114-3.6481260375478466841e-16j)
38.0	(-0.4022626971932780071-3.6422575550612524761e-16j)
38.125	(-0.40212421859063185448-3.6201579360717957463e-16j)
38.25	(-0.4019864566951220075-3.5877532348367043935e-16j)
38.375	(-0.40184941075730534754-3.6310264275762524876e-16j)
38.5	(-0.40171308003224071026-3.5638810670562200318e-16j)
38.625	(-0.40157746377947461935-3.5722080626722198466e-16j)
38.75	(-0.40144256126302702015-3.56104138910054999e-16j)
38.875	(-0.40130837175137773487-3.4973384234177182141e-16j)
39.0	(-0.40117489451745180773-3.4871572197406195326e-16j)
39.125	(-0.40104212883860634875-3.4369224749658251576e-16j)
39.25	(-0.40091007399661726662-3.432664943265790222e-16j)
39.375	(-0.4007787292776648358-3.4394168546465910636e-16j)
39.5	(-0.40064809397232148402-3.4467660566041041954e-16j)
39.625	(-0.40051816737553641579-3.4361708655740349746e-16j)
39.75	(-0.40038894878662517618-3.4030510832430037804e-16j)
39.875	(-0.40026043750925349718-3.373000736554585357e-16j)
40.0	(-0.40013263285142741665-3.3889475876245256543e-16j)
40.125	(-0.40000553412547812382-3.3532409137330206235e-16j)
40.25	(-0.3998791406480497468-3.3390494060973668553e-16j)
40.375	(-0.3997534517400865295-3.3123407367347646553e-16j)
40.5	(-0.39962846672682117433-3.2985241735271689234e-16j)
40.625	(-0.39950418493776151951-3.287019083823291372e-16j)
40.75	(-0.39938060570667666127-3.2226275068241214518e-16j)
40.875	(-0.3992577283715888492-3.236981538906529639e-16j)
41.0	(-0.39913555227475588927-3.2316724290373682904e-16j)
41.125	(-0.3990140767626637608-3.2244041584309873468e-16j)
41.25	(-0.3988933011860109623-3.0850693561900230768e-16j)
41.375	(-0.39877322489969968533-3.1539736997390372948e-16j)
41.5	(-0.3986538472628208818-3.146683525390035947e-16j)
41.625	(-0.39853516763864560435-3.0750237439589340875e-16j)
41.75	(-0.39841718539461035142-3.050466472107908806e-16j)
41.875	(-0.39829989990230818542-3.0405019235768500135e-16j)
42.0	(-0.3981833105374756876-3.0138580389998229666e-16j)
42.125	(-0.39806741667998135625-2.9798292844372695014e-16j)
42.25	(-0.39795221771381539266-2.9789641196909880387e-16j)
42.375	(-0.39783771302707848783-2.9154369133447115303e-16j)
42.5	(-0.39772390201196938797-2.92124848580516209e-16j)
42.625	(-0.39761078406477545766-2.9075949102654638067e-16j)
42.75	(-0.39749835858586057835-2.8678443819697585384e-16j)
42.875	(-0.3973866249796541017-2.8743893658485231146e-16j)
43.0	(-0.39727558265464313347-2.7993737457595181239e-16j)
43.125	(-0.39716523102335649087-2.7806445238067454585e-16j)
43.25	(-0.39705556950235848523-2.7843127720383976172e-16j)
43.375	(-0.3969465975122380419-2.7959190424748026549e-16j)
43.5	(-0.39683831447759537747-2.7599699715765950848e-16j)
43.625	(-0.3967307198270351165-2.6549834803124257657e-16j)
