wn	g_0_wn_up
-117.48247527486830677	(1.7666086899206267154e-19+0.008510479305619876242j)
-117.351575580968741974	(-9.3713600257182368215e-20+0.008519970157414648998j)
-117.22067588706914876	(3.2067916574059740948e-19+0.0085294821975276918086j)
-117.08977619316958396	(-3.4747268714420199408e-20+0.008539015496986527079j)
-116.958876499270004956	(-3.108199990506782436e-19+0.008548570127136457739j)
-116.82797680537044016	(-1.6283334932475926937e-19+0.008558146159642322781j)
-116.697077111470846944	(5.788730647604827666e-19+0.008567743666490318724j)
-116.56617741757128215	(1.28826363474728798245e-18+0.008577362719989769027j)
-116.435277723671717354	(-4.3726251840618805856e-19+0.008587003392774957694j)
-116.30437802977212414	(1.695592424806294959e-19+0.008596665757806966346j)
-116.17347833587255934	(-3.2076104754836397677e-19+0.008606349888375488741j)
-116.042578641972980336	(6.09686764934150684e-19+0.008616055858100704276j)
-115.91167894807341554	(-2.1101391235101992115e-18+0.008625783740935128938j)
-115.780779254173822324	(-9.410626541678841916e-18+0.008635533611165504414j)
-115.64987956027425753	(2.2190707194731001202e-19+0.008645305543414650781j)
-115.51897986637469273	(8.549985370642062026e-20+0.0086550996126434562306j)
-115.38808017247511373	(-5.80244677333423203e-19+0.008664915894152695058j)
-115.25718047857553472	(1.6702447919000773913e-19+0.00867475446358501219j)
-115.126280784675955715	(-7.802639513587163589e-19+0.008684615396926841785j)
-114.99538109077639092	(1.0328144464014261295e-18+0.008694498770510383084j)
-114.8644813968767977	(2.8271263780323174665e-19+0.008704404661015551978j)
-114.73358170297723291	(-1.8503877333182420801e-19+0.008714333145471968994j)
-114.60268200907766811	(-8.401588964764435874e-19+0.008724284301260952501j)
-114.47178231517808911	(-1.7924252540763370298e-19+0.008734258206117532716j)
-114.3408826212785101	(-2.9168277141984512812e-20+0.008744254938132477867j)
-114.209982927378931095	(2.194524062666435452e-19+0.0087542745757543168755j)
-114.0790832334793663	(5.7978043303581370577e-19+0.008764317197791398478j)
-113.948183539579801504	(-1.22328316356483741065e-18+0.0087743828834139676875j)
-113.81728384568020829	(3.5869325755341398196e-19+0.008784471712156228379j)
-113.68638415178064349	(5.464676515239162009e-20+0.008794583763918428429j)
-113.555484457881064486	(-2.8719322363103714693e-18+0.008804719118969012506j)
-113.42458476398148548	(4.8227735099861333575e-20+0.008814877857946684658j)
-113.293685070081906474	(6.3670989498269552846e-19+0.008825060061862601002j)
-113.16278537618234168	(-1.0393662293961943141e-19+0.008835265812102475677j)
-113.031885682282776884	(4.937823507837270995e-19+0.008845495190428789151j)
-112.90098598838318367	(9.59891699557712268e-19+0.008855748278982934069j)
-112.77008629448361887	(-5.7720092955302248546e-19+0.008866025160287440907j)
-112.639186600584039866	(1.3046992117948220006e-19+0.008876325917248163722j)
-112.50828690668447507	(2.3364575183633911107e-19+0.008886650633156543966j)
-112.377387212784881854	(-1.7972004804874260387e-19+0.0088969993916918274635j)
-112.24648751888531706	(-2.3760882578398510265e-19+0.0089073722769233178165j)
-112.11558782498575226	(-7.8755442208815781775e-19+0.008917769373312674913j)
-111.984688131086159046	(1.0311038708564844853e-18+0.008928190765716204763j)
-111.85378843718659425	(2.0718750447688266562e-18+0.008938636539387137189j)
-111.722888743287015245	(-8.161371087623927849e-19+0.008949106779977985052j)
-111.59198904938745045	(-2.1515418531166502014e-20+0.008959601573542861838j)
-111.46108935548785723	(6.152264059459168196e-19+0.008970121006539849562j)
-111.33018966158829244	(3.1761082331673970452e-19+0.008980665165833361455j)
-111.19928996768872764	(-1.14869511416195632245e-18+0.0089912341386965410894j)
-111.06839027378914864	(-8.0604867090588994996e-19+0.009001828012813664973j)
-110.93749057988956963	(2.6926150207779751513e-18+0.009012446876282564218j)
-110.806590885989990625	(-1.994168331546754887e-18+0.009023090817617061832j)
-110.67569119209042583	(-1.9990404265294916232e-19+0.009033759925749451636j)
-110.54479149819083261	(-3.949310570354675028e-19+0.009044454290032947694j)
-110.41389180429126782	(3.5659749152580411058e-19+0.009055174000244180579j)
-110.28299211039170302	(4.8945630564277808233e-20+0.009065919146585728339j)
-110.152092416492124016	(-2.4213030665440118645e-19+0.009076689819688628369j)
-110.02119272259254501	(3.2688386475412106104e-19+0.009087486110614922258j)
-109.890293028692966004	(-8.120940641743871628e-22+0.009098308110860235318j)
-109.75939333479340121	(-1.0343399023210435714e-18+0.009109155912356343976j)
-109.628493640893836414	(-1.631856884172874434e-18+0.009120029607473779595j)
-109.4975939469942432	(3.1140377667136359764e-19+0.009130929289024477397j)
-109.3666942530946784	(-5.5771458289371786767e-19+0.009141855050264359461j)
-109.235794559195099396	(4.7008854973930099602e-20+0.00915280698489604784j)
-109.10489486529552039	(2.4108666962076670005e-18+0.0091637851870715065355j)
-108.973995171395941384	(-4.7335855235384959725e-19+0.009174789751394763285j)
-108.84309547749637659	(8.27334589395959832e-22+0.009185820772924596644j)
-108.71219578359681179	(-2.290430743644315407e-18+0.009196878347177302876j)
-108.581296089697218576	(6.110053298990530952e-20+0.009207962570129429869j)
-108.45039639579765378	(4.2112032148447799075e-19+0.009219073538220550965j)
-108.319496701898074775	(2.198232690220390693e-19+0.009230211348356078677j)
-108.18859700799849577	(-1.0719154810314418246e-18+0.009241376097910068005j)
-108.05769731409891676	(1.6541570453820334102e-20+0.009252567884728049238j)
-107.92679762019935197	(-7.9760533414795543854e-19+0.009263786807129879841j)
-107.79589792629978717	(-1.2646099822662224684e-18+0.009275032963912677869j)
-107.664998232400193956	(-4.4161756979193661936e-19+0.0092863064543536079365j)
-107.53409853850062916	(5.7873694588046654625e-19+0.009297607378212908308j)
-107.403198844601050155	(-6.9802720278842736894e-19+0.009308935835736779213j)
-107.27229915070148536	(-2.6579570902808772173e-19+0.009320291927660354428j)
-107.14139945680189214	(1.3576074948614415303e-19+0.009331675755210698878j)
-107.01049976290232735	(7.9289337020372241574e-20+0.009343087420109785421j)
-106.87960006900276255	(-5.9936931238899134454e-19+0.009354527024577549699j)
-106.748700375103169335	(1.0679864631957261124e-18+0.009365994671334943247j)
-106.61780068120360454	(-1.6519964064980621105e-18+0.009377490463606974469j)
-106.486900987304025534	(9.830611213547996165e-19+0.009389014505125829399j)
-106.35600129340446074	(2.967893781848396852e-19+0.0094005669001339838j)
-106.22510159950486752	(7.5352315247301101044e-19+0.009412147753387360358j)
-106.09420190560530273	(1.0326772755107415676e-19+0.009423757170158456389j)
-105.96330221170573793	(-1.2918434250800215793e-18+0.0094353952562395634884j)
-105.832402517806158926	(-2.8789217752428061085e-20+0.009447062117945969825j)
-105.70150282390657992	(3.536112383492095282e-18+0.009458757862119188467j)
-105.570603130007000914	(-2.8229740132451047935e-19+0.009470482596130232536j)
-105.43970343610743612	(-2.2010122925437049068e-18+0.00948223642788287302j)
-105.3088037422078429	(5.6342414706505311287e-19+0.009494019465816990258j)
-105.17790404830827811	(1.1666725741080671613e-18+0.009505831818911847364j)
-105.04700435440871331	(5.3134498097978646503e-19+0.009517673596689498958j)
-104.916104660509134305	(4.512325527622028663e-18+0.0095295449092181582634j)
-104.7852049666095553	(8.603001613962563434e-19+0.0095414458671155884945j)
-104.65430527270997629	(8.936885935017933154e-19+0.009553376581552563626j)
-104.5234055788104115	(5.28375263996184694e-19+0.0095653371642563031485j)
-104.3925058849108467	(-2.2991458284299933008e-18+0.009577327727513979677j)
-104.261606191011253486	(3.293569624457528073e-19+0.009589348384176207482j)
-104.13070649711168869	(-7.3466135953990861115e-19+0.0096013992476606073445j)
-103.999806803212109685	(1.2561615197290202997e-18+0.009613480431955345393j)
-103.86890710931253068	(3.145766691575881496e-19+0.009625592051622743062j)
-103.73800741541295167	(1.5179473962077957126e-18+0.009637734221802885318j)
-103.60710772151338688	(3.672260989223711362e-19+0.009649907058217277456j)
-103.47620802761382208	(3.9598229814384241945e-19+0.009662110677172501896j)
-103.345308333714228866	(2.57271842934643349e-19+0.009674345195563949576j)
-103.21440863981466407	(-4.7315301153120253605e-19+0.009686610730879511438j)
-103.083508945915085064	(-8.768132660875581317e-19+0.009698907401203365336j)
-102.95260925201552027	(8.9881720729345531664e-20+0.0097112353252197577275j)
-102.82170955811592705	(3.3841019445736496606e-19+0.00972359462221681313j)
-102.69080986421636226	(4.1849106510692363347e-18+0.009735985412090385205j)
-102.55991017031679746	(-7.862381386920925007e-19+0.0097484078153479009066j)
-102.429010476417204245	(3.4942499965104953675e-19+0.009760861953112355549j)
-102.29811078251763945	(-4.2881954031982611696e-19+0.009773347947126122259j)
